Airport Name,City,Country,3 Char Code,Identifier,Lat,Long,rand1,rand2,rand3
Boundary Bay Airport,Boundary Bay,Canada,YDT,CZBB,49.07419968,-123.012001,6,-8,A
Langley Airport,Langley Township,Canada,\N,CYNJ,49.10079956,-122.6309967,34,-8,A
Denny Island Airport,Bella Bella,Canada,ZEL,CYJQ,52.139702,-128.063997,162,-8,A
Sechelt Aerodrome,Sechelt-Gibsons,Canada,YHS,\N,49.460556,-123.718611,250,-8,A
Wekweètì Airport,Wekweeti,Canada,YFJ,CFJ2,64.190804,-114.077002,1208,-7,A
Camaguey-Campo Cuatro Milpas Airport,Guasave,Mexico,\N,MM52,25.6522007,-108.538002,92,-7,A
Isla de Cedros Airport,Cedros,Mexico,\N,MMCD,28.0375,-115.189444,98,-8,A
Cabo San Lucas International Airport,Cabo San Lucas,Mexico,\N,MMSL,22.9477005,-109.9369965,459,-7,A
Bahia Tortugas Airfield,Bahia Tortugas,Mexico,\N,\N,27.705278,-114.911111,102,-7,A
Palo Verde Airport,San Bruno,Mexico,PVP,\N,27.093056,-112.098889,55,-7,A
Ziyaraifushi,Ziyaraifushi,Maldives,\N,\N,4.531313889,73.373325,0,5,U
Brussels Gare du Midi,Brussels,Belgium,ZYR,\N,50.8,4.4,180,1,E
Caye Chapel Airport,Caye Chapel,Belize,CYC,\N,17.683611,-88.045,10,-6,U
Big Creek Airport,Big Creek,Belize,BGK,\N,16.516667,-88.416667,16,-6,U
Dangriga Airport,Dangriga,Belize,DGA,\N,16.966667,-88.216667,10,-6,U
Placencia Airport,Placencia,Belize,PLJ,\N,16.536944,-88.361667,42,-6,U
Sartaneja Airport,Sarteneja,Belize,SJX,\N,18.355556,-88.130833,10,-6,U
Huehuetenango Airport,Huehuetenango,Guatemala,\N,\N,15.314722,-91.476111,1901,-6,U
Corn Island,Corn Island,Nicaragua,RNI,MNCI,12.16289997,-83.063797,1,-6,U
San Pedro Airport,Bonanza,Nicaragua,BZA,MNBZ,13.94999981,-84.59999847,600,-6,U
Rosita Airport,Rosita,Nicaragua,RFS,MNRT,13.88969994,-84.4088974,193,-6,U
Siuna,Siuna,Nicaragua,SIU,MNSI,13.72722244,-84.77777863,606,-6,U
Waspam Airport,Waspam,Nicaragua,WSP,MNWP,14.73919964,-83.9693985,98,-6,U
San Carlos,San Carlos,Nicaragua,\N,MNSC,11.13339996,-84.76999664,91,-6,U
Playa Samara/Carrillo Airport,Carrillo,Costa Rica,PLD,MRCR,9.870510101,-85.48139954,50,-6,U
Fussen,Fussen,Germany,FUS,FUSS,47.585,10.6866,800,1,U
John A. Osborne Airport,Montserrat,Montserrat,\N,\N,16.791389,-62.193333,550,-4,U
Monte Plata Batley Juan Sanchez Field,Monte Plata,Dominican Republic,\N,MDJS,18.81,-69.79,1424,-4,U
Constanza - Expedición 14 de Junio National Airport,Constanza,Dominican Republic,COZ,MDCZ,18.90749931,-70.72190094,3950,-4,U
Negril Airport,Negril,Jamaica,NEG,MKNG,18.34280014,-78.33209991,9,-5,U
Bochum Railway,Bochum,Germany,EBO,\N,51.478506,7.222781,45,1,U
Fliegerhost ,Kaufbeuren,Germany,KFB,\N,47.874,10.6294,680,1,U
Munich Railway,Munich,Germany,ZMU,\N,48.1408,11.555,500,1,U
Nuernberg Railway,Nuernberg,Germany,ZAQ,\N,49.446389,11.081944,312,1,U
José Aponte de la Torre Airport,Ceiba,Puerto Rico,RVR,TJRV,18.24530029,-65.6434021,38,-4,A
Aeropuerto Internacional Valle del Conlara,Merlo,Argentina,RLO,\N,-32.349803,-65.179932,100,-3,N
Charlotte Amalie Harbor Seaplane Base,Charlotte Amalie,Virgin Islands,SPB,VI22,18.33860016,-64.94069672,0,-4,A
Christiansted Harbor Seaplane Base,Christiansted,Virgin Islands,SSB,\N,17.747222,-64.705,0,-4,A
D. Casimiro Szlapelis Airport,Alto Rio Senguer,Argentina,ARR,SAVR,-45.013599,-70.812202,2286,-3,N
Jose De San Martin Airport,Jose de San Martin,Argentina,JSM,SAWS,-44.04859924,-70.45890045,2407,-3,N
Uyuni Airport,Uyuni,Bolivia,UYU,SLUY,-20.44630051,-66.8483963,11136,-4,U
Augsburg Railway,Augsburg,Germany,ZAU,\N,48.3655,10.8863,500,1,U
Mannheim Railway,Mannheim,Germany,ZMA,\N,49.479633,8.469858,200,1,E
Essen Railway,Essen,Germany,ZES,\N,51.451389,7.013889,200,1,U
Rurrenabaque Airport,Rerrenabaque,Bolivia,RBQ,SLRQ,-14.4275,-67.498056,898,-4,U
